,value,return,cumulate_return
2021-05-07 10:00:00,0.23358190639663737,0,0
2021-05-07 10:30:00,-17.02170347990932,0.007839976658767067,0.007839976658767067
2021-05-07 11:00:00,-17.205423726840984,-0.0821000348331431,-0.07426005817437603
2021-05-07 11:30:00,-185.38532670511682,0.4699864514212386,0.3957263932468626
2021-05-07 13:30:00,390.04500060558473,8.77846512256528,9.174191515812142
2021-05-07 14:00:00,888.4985191884712,3.5495412914657436,12.723732807277885
2021-05-07 14:30:00,237.19395841063368,51.90143899104828,64.62517179832616
2021-05-07 15:00:00,37.99109788449596,50.29422871836027,114.91940051668644
2021-05-10 10:00:00,24.956730317129924,5.555823669693147,120.47522418637959
2021-05-10 10:30:00,-240.70206107428166,2.0574234595042924,122.53264764588388
2021-05-10 11:00:00,-35.290539757303584,2.5518096250331155,125.084457270917
2021-05-10 11:30:00,-64.9706939882851,6.218562903215606,131.3030201741326
2021-05-10 13:30:00,107.23474481177529,-2.309594414441449,128.99342575969115
2021-05-10 14:00:00,-61.87188101579896,8.238474610874206,137.23190037056537
2021-05-10 14:30:00,-58.007814051416474,0.8939053324480568,138.12580570301344
2021-05-10 15:00:00,-294.76166947196214,4.1781451929278575,142.30395089594128
2021-05-11 10:00:00,-353.73488464887663,4.061934343649227,146.3658852395905
2021-05-11 10:30:00,-192.61447199902273,3.0685725401965556,149.43445777978707
2021-05-11 11:00:00,-369.54715233028026,0.0772362603745762,149.51169404016164
2021-05-11 11:30:00,6.72161089045033,2.4264637800459923,151.93815782020764
2021-05-11 13:30:00,-675.4845636298628,-0.6344083067328965,151.30374951347474
2021-05-11 14:00:00,-573.9799212073206,7.893046073847586,159.19679558732233
2021-05-11 14:30:00,-9.903769701320499,6.769758106398058,165.96655369372039
2021-05-11 15:00:00,-572.9942877353573,0.5940410914532421,166.56059478517363
2021-05-12 10:00:00,-608.9004149088844,-0.4186520797849198,166.14194270538871
2021-05-12 10:30:00,-460.24181545401444,-3.592686575802418,162.5492561295863
2021-05-12 11:00:00,59.85394107649269,9.502436209312066,172.05169233889836
2021-05-12 11:30:00,-31.627523051668742,9.375605912765394,181.42729825166376
2021-05-12 13:30:00,55.0619656168887,-0.8175227730296264,180.60977547863413
2021-05-12 14:00:00,-12.395181183540805,3.1920975283333632,183.8018730069675
2021-05-12 14:30:00,-10.579003563467534,-0.9203950992425955,182.8814779077249
2021-05-12 15:00:00,-490.83435223597496,0.3908918375182999,183.2723697452432
2021-05-13 10:00:00,150.13223572642858,18.591771242121297,201.8641409873645
2021-05-13 10:30:00,473.89056554613916,9.93035431343381,211.7944953007983
2021-05-13 11:00:00,-80.56975556253279,43.309868974056656,255.10436427485496
2021-05-13 11:30:00,434.9357937577906,5.504777988301996,260.60914226315697
2021-05-13 13:30:00,386.02239324957304,-10.368550884625904,250.24059137853106
2021-05-13 14:00:00,-268.2673530339374,1.3423181479279265,251.582909526459
2021-05-13 14:30:00,-206.18485357833978,6.94066869248519,258.5235782189442
2021-05-13 15:00:00,-306.3508876265029,4.6576545193781556,263.18123273832236
2021-05-14 10:00:00,-520.5736997330526,4.9308258529310365,268.1120585912534
2021-05-14 10:30:00,-616.8097726309029,-13.979931983747633,254.13212660750577
2021-05-14 11:00:00,-9.827086133802766,5.539766420551132,259.6718930280569
2021-05-14 11:30:00,-346.80251619382904,3.174853622750633,262.8467466508075
2021-05-14 13:30:00,-26.606493363158,-2.640062412673444,260.2066842381341
2021-05-14 14:00:00,-565.1205735975747,1.7831983605174102,261.9898825986515
2021-05-14 14:30:00,-219.547938442842,10.455014964543352,272.44489756319484
2021-05-14 15:00:00,-546.6168145511039,0.27058092604715966,272.715478489242
2021-05-17 10:00:00,-349.5563956304415,4.447259171904648,277.16273766114665
2021-05-17 10:30:00,-28.95246164337754,19.773266589986576,296.9360042511332
2021-05-17 11:00:00,-76.93413322721938,1.1411050991961318,298.07710935032935
2021-05-17 11:30:00,-34.38234770948261,1.4161025583782418,299.4932119087076
2021-05-17 13:30:00,-419.23360690622474,-0.9470632566455279,298.5461486520621
2021-05-17 14:00:00,-123.63175867784254,8.897395702131917,307.443544354194
2021-05-17 14:30:00,-258.0869131622462,0.8491474825635947,308.29269183675757
2021-05-17 15:00:00,-36.219964056386374,5.179744678998247,313.4724365157558
2021-05-18 10:00:00,82.90111818416217,0.5325229877587532,314.00495950351456
2021-05-18 10:30:00,-5.384110448895543,-2.318346903407601,311.68661260010697
2021-05-18 11:00:00,53.218290743831076,2.1020956703219884,313.78870827042897
2021-05-18 11:30:00,-183.74553243252853,0.5990767911841957,314.38778506161316
2021-05-18 13:30:00,-161.22934982768058,1.3321688414480093,315.7199539030612
2021-05-18 14:00:00,159.5235108079434,3.932974063008402,319.65292796606957
2021-05-18 14:30:00,-30.44198280924451,14.35715780568512,334.0100857717547
2021-05-18 15:00:00,-36.088101630971536,-0.7617021981844267,333.24838357357027
2021-05-19 10:00:00,-7.153351905294286,1.5568151705352022,334.8051987441055
2021-05-19 10:30:00,171.3345616073163,-1.8263156999210324,332.97888304418444
2021-05-19 11:00:00,1.9512619067254655,-7.365383822242734,325.6134992219417
2021-05-19 11:30:00,2.0045413423810614,0.03775222681125712,325.651251448753
2021-05-19 13:30:00,139.94679744954564,-0.02724617730618828,325.6240052714468
2021-05-19 14:00:00,128.12726586851522,1.3560910875632715,326.9800963590101
2021-05-19 14:30:00,120.1070569161893,-0.2822997964528895,326.6977965625572
2021-05-19 15:00:00,1.7174379093058447,15.975476159862694,342.6732727224199
