,time,mkt,code,K,S,T,CorP
34931,2021-05-06 10:00:00,0.4058,510050C2105M03100,3.1,3.5001158610000003,0.05952380952380953,1
34932,2021-05-06 10:00:00,0.0009,510050C2105M04000,4.0,3.5001158610000003,0.05952380952380953,1
34933,2021-05-06 10:00:00,0.3826,510050P2109M03800,3.8,3.5001158610000003,0.3849206349206349,0
34934,2021-05-06 10:00:00,0.0012,510050P2105M03100,3.1,3.5001158610000003,0.05952380952380953,0
34935,2021-05-06 10:00:00,0.0028,510050C2106M04200,4.2,3.5001158610000003,0.1349206349206349,1
34936,2021-05-06 10:00:00,0.0023,510050C2106M04400,4.4,3.5001158610000003,0.1349206349206349,1
34937,2021-05-06 10:00:00,0.20199999999999999,510050P2105M03700,3.7,3.5001158610000003,0.05952380952380953,0
34938,2021-05-06 10:00:00,0.1181,510050P2105M03600,3.6,3.5001158610000003,0.05952380952380953,0
34939,2021-05-06 10:00:00,0.2402,510050P2112A03500,3.5,3.5001158610000003,0.6230158730158729,0
34940,2021-05-06 10:00:00,0.0605,510050C2105M03500,3.5,3.5001158610000003,0.05952380952380953,1
34941,2021-05-06 10:00:00,0.0143,510050C2109M04300,4.3,3.5001158610000003,0.3849206349206349,1
34942,2021-05-06 10:00:00,0.4769,510050P2109M03900,3.9,3.5001158610000003,0.3849206349206349,0
34943,2021-05-06 10:00:00,0.5067,510050C2105M03000,3.0,3.5001158610000003,0.05952380952380953,1
34944,2021-05-06 10:00:00,0.0828,510050C2112A03900,3.9,3.5001158610000003,0.6230158730158729,1
34945,2021-05-06 10:00:00,0.1321,510050C2112A03700,3.7,3.5001158610000003,0.6230158730158729,1
34946,2021-05-06 10:00:00,0.0184,510050C2109M04200,4.2,3.5001158610000003,0.3849206349206349,1
34947,2021-05-06 10:00:00,0.0012,510050C2105M03900,3.9,3.5001158610000003,0.05952380952380953,1
34948,2021-05-06 10:00:00,0.3966,510050P2105M03900,3.9,3.5001158610000003,0.05952380952380953,0
34949,2021-05-06 10:00:00,0.1575,510050C2109M03500,3.5,3.5001158610000003,0.3849206349206349,1
34950,2021-05-06 10:00:00,0.8586,510050P2109M04300,4.3,3.5001158610000003,0.3849206349206349,0
34951,2021-05-06 10:00:00,0.2959,510050P2105M03800,3.8,3.5001158610000003,0.05952380952380953,0
